Report_Year,Census_Tract_1990,Crime_Type,Report_Year_Total
1996,18,Theft,137
1996,18,Vehicle Theft,43
1996,18,Violent Crimes Total,65
1996,19,Aggravated Assault,4
1996,19,Homicide,0
1996,19,NonResidential Burglary,21
1996,19,Property Crimes Total,211
1996,19,Rape,0
1996,19,Residential Burglary,20
1996,19,Robbery,2
1996,19,Theft,136
1996,19,Vehicle Theft,33
1996,19,Violent Crimes Total,6
1996,2,Aggravated Assault,12
1996,2,Homicide,0
1996,2,NonResidential Burglary,12
1996,2,Property Crimes Total,348
1996,2,Rape,0
1996,2,Residential Burglary,53
1996,2,Robbery,8
1996,2,Theft,241
1996,2,Vehicle Theft,42
1996,2,Violent Crimes Total,20
1996,20,Aggravated Assault,4
1996,20,Homicide,0
1996,20,NonResidential Burglary,6
1996,20,Property Crimes Total,133
1996,20,Rape,0
1996,20,Residential Burglary,18
1996,20,Robbery,0
1996,20,Theft,86
1996,20,Vehicle Theft,23
1996,20,Violent Crimes Total,4
1996,21,Aggravated Assault,7
1996,21,Homicide,0
1996,21,NonResidential Burglary,6
1996,21,Property Crimes Total,146
1996,21,Rape,1
1996,21,Residential Burglary,15
1996,21,Robbery,4
1996,21,Theft,101
1996,21,Vehicle Theft,24
1996,21,Violent Crimes Total,12
1996,22,Aggravated Assault,1
1996,22,Homicide,0
1996,22,NonResidential Burglary,4
1996,22,Property Crimes Total,129
1996,22,Rape,-1
1996,22,Residential Burglary,17
1996,22,Robbery,2
1996,22,Theft,100
1996,22,Vehicle Theft,8
1996,22,Violent Crimes Total,2
1996,23.98,Aggravated Assault,0
1996,23.98,Homicide,0
1996,23.98,NonResidential Burglary,1
1996,23.98,Property Crimes Total,31
1996,23.98,Rape,0
1996,23.98,Residential Burglary,2
1996,23.98,Robbery,0
1996,23.98,Theft,24
1996,23.98,Vehicle Theft,3
1996,23.98,Violent Crimes Total,0
1996,24,Aggravated Assault,1
1996,24,Homicide,0
1996,24,NonResidential Burglary,0
1996,24,Property Crimes Total,87
1996,24,Rape,0
1996,24,Residential Burglary,9
1996,24,Robbery,6
1996,24,Theft,64
1996,24,Vehicle Theft,14
1996,24,Violent Crimes Total,7
1996,25,Aggravated Assault,5
1996,25,Homicide,0
1996,25,NonResidential Burglary,1
1996,25,Property Crimes Total,59
1996,25,Rape,0
1996,25,Residential Burglary,9
1996,25,Robbery,1
1996,25,Theft,40
1996,25,Vehicle Theft,9
1996,25,Violent Crimes Total,6
1996,26,Aggravated Assault,7
1996,26,Homicide,1
1996,26,NonResidential Burglary,15
1996,26,Property Crimes Total,324
1996,26,Rape,0
1996,26,Residential Burglary,31
1996,26,Robbery,10
1996,26,Theft,226
1996,26,Vehicle Theft,50
1996,26,Violent Crimes Total,18
1996,27,Aggravated Assault,6
1996,27,Homicide,0
1996,27,NonResidential Burglary,15
1996,27,Property Crimes Total,278
1996,27,Rape,0
1996,27,Residential Burglary,24
1996,27,Robbery,8
1996,27,Theft,201
1996,27,Vehicle Theft,38
1996,27,Violent Crimes Total,14
1996,28,Aggravated Assault,9
1996,28,Homicide,0
1996,28,NonResidential Burglary,17
1996,28,Property Crimes Total,221
1996,28,Rape,1
1996,28,Residential Burglary,25
1996,28,Robbery,5
1996,28,Theft,143
1996,28,Vehicle Theft,34
1996,28,Violent Crimes Total,15
1996,29,Aggravated Assault,1
1996,29,Homicide,1
1996,29,NonResidential Burglary,12
1996,29,Property Crimes Total,187
1996,29,Rape,0
1996,29,Residential Burglary,37
1996,29,Robbery,4
1996,29,Theft,118
1996,29,Vehicle Theft,19
1996,29,Violent Crimes Total,6
1996,3,Aggravated Assault,6
1996,3,Homicide,0
1996,3,NonResidential Burglary,8
1996,3,Property Crimes Total,151
1996,3,Rape,4
1996,3,Residential Burglary,21
1996,3,Robbery,4
1996,3,Theft,103
1996,3,Vehicle Theft,19
1996,3,Violent Crimes Total,14
1996,30,Aggravated Assault,5
1996,30,Homicide,0
1996,30,NonResidential Burglary,11
1996,30,Property Crimes Total,277
1996,30,Rape,0
1996,30,Residential Burglary,40
1996,30,Robbery,0
1996,30,Theft,184
1996,30,Vehicle Theft,42
1996,30,Violent Crimes Total,5
1996,31,Aggravated Assault,8
1996,31,Homicide,0
1996,31,NonResidential Burglary,3
1996,31,Property Crimes Total,227
1996,31,Rape,1
1996,31,Residential Burglary,16
1996,31,Robbery,4
1996,31,Theft,173
1996,31,Vehicle Theft,32
1996,31,Violent Crimes Total,13
1996,32,Aggravated Assault,13
1996,32,Homicide,1
1996,32,NonResidential Burglary,23
1996,32,Property Crimes Total,353
1996,32,Rape,5
1996,32,Residential Burglary,32
1996,32,Robbery,11
1996,32,Theft,255
1996,32,Vehicle Theft,43
1996,32,Violent Crimes Total,30
1996,33,Aggravated Assault,8
1996,33,Homicide,0
1996,33,NonResidential Burglary,11
1996,33,Property Crimes Total,219
1996,33,Rape,1
1996,33,Residential Burglary,36
1996,33,Robbery,9
1996,33,Theft,137
1996,33,Vehicle Theft,34
1996,33,Violent Crimes Total,18
1996,34,Aggravated Assault,2
1996,34,Homicide,0
1996,34,NonResidential Burglary,0
1996,34,Property Crimes Total,97
1996,34,Rape,0
1996,34,Residential Burglary,12
1996,34,Robbery,2
1996,34,Theft,61
1996,34,Vehicle Theft,23
1996,34,Violent Crimes Total,4
1996,35,Aggravated Assault,1
1996,35,Homicide,0
1996,35,NonResidential Burglary,19
1996,35,Property Crimes Total,175
1996,35,Rape,0
1996,35,Residential Burglary,14
1996,35,Robbery,2
1996,35,Theft,113
1996,35,Vehicle Theft,29
1996,35,Violent Crimes Total,3
1996,36,Aggravated Assault,7
1996,36,Homicide,0
1996,36,NonResidential Burglary,28
1996,36,Property Crimes Total,445
1996,36,Rape,1
1996,36,Residential Burglary,41
1996,36,Robbery,21
1996,36,Theft,309
1996,36,Vehicle Theft,66
1996,36,Violent Crimes Total,29
1996,37,Aggravated Assault,3
1996,37,Homicide,0
1996,37,NonResidential Burglary,3
1996,37,Property Crimes Total,81
1996,37,Rape,0
1996,37,Residential Burglary,7
1996,37,Robbery,3
1996,37,Theft,60
1996,37,Vehicle Theft,11
1996,37,Violent Crimes Total,6
1996,38,Aggravated Assault,1
1996,38,Homicide,0
1996,38,NonResidential Burglary,6
1996,38,Property Crimes Total,86
1996,38,Rape,0
1996,38,Residential Burglary,11
1996,38,Robbery,2
1996,38,Theft,64
1996,38,Vehicle Theft,5
1996,38,Violent Crimes Total,3
1996,39,Aggravated Assault,4
1996,39,Homicide,0
1996,39,NonResidential Burglary,4
1996,39,Property Crimes Total,66
1996,39,Rape,1
1996,39,Residential Burglary,8
1996,39,Robbery,2
1996,39,Theft,45
1996,39,Vehicle Theft,7
1996,39,Violent Crimes Total,7
1996,4,Aggravated Assault,21
1996,4,Homicide,0
1996,4,NonResidential Burglary,30
1996,4,Property Crimes Total,511
1996,4,Rape,3
1996,4,Residential Burglary,52
1996,4,Robbery,13
1996,4,Theft,326
1996,4,Vehicle Theft,103
1996,4,Violent Crimes Total,37
1996,40.98,Aggravated Assault,0
1996,40.98,Homicide,0
1996,40.98,NonResidential Burglary,0
1996,40.98,Property Crimes Total,65
1996,40.98,Rape,0
1996,40.98,Residential Burglary,9
1996,40.98,Robbery,0
1996,40.98,Theft,48
1996,40.98,Vehicle Theft,8
1996,40.98,Violent Crimes Total,0
1996,41,Aggravated Assault,2
1996,41,Homicide,0
1996,41,NonResidential Burglary,10
1996,41,Property Crimes Total,287
1996,41,Rape,2
1996,41,Residential Burglary,33
1996,41,Robbery,3
1996,41,Theft,211
1996,41,Vehicle Theft,33
1996,41,Violent Crimes Total,7
1996,42,Aggravated Assault,4
1996,42,Homicide,0
1996,42,NonResidential Burglary,8
1996,42,Property Crimes Total,320
1996,42,Rape,0
1996,42,Residential Burglary,29
1996,42,Robbery,1
1996,42,Theft,248
1996,42,Vehicle Theft,34
1996,42,Violent Crimes Total,5
1996,43,Aggravated Assault,16
1996,43,Homicide,0
1996,43,NonResidential Burglary,16
1996,43,Property Crimes Total,488
1996,43,Rape,0
1996,43,Residential Burglary,64
1996,43,Robbery,8
1996,43,Theft,350
1996,43,Vehicle Theft,58
1996,43,Violent Crimes Total,24
1996,44,Aggravated Assault,31
1996,44,Homicide,0
1996,44,NonResidential Burglary,9
1996,44,Property Crimes Total,446
1996,44,Rape,3
1996,44,Residential Burglary,68
1996,44,Robbery,22
1996,44,Theft,301
1996,44,Vehicle Theft,66
1996,44,Violent Crimes Total,56
1996,45,Aggravated Assault,1
1996,45,Homicide,0
1996,45,NonResidential Burglary,6
1996,45,Property Crimes Total,116
1996,45,Rape,1
1996,45,Residential Burglary,19
1996,45,Robbery,2
1996,45,Theft,69
1996,45,Vehicle Theft,22
1996,45,Violent Crimes Total,4
1996,46,Aggravated Assault,10
1996,46,Homicide,0
1996,46,NonResidential Burglary,5
1996,46,Property Crimes Total,265
1996,46,Rape,0
1996,46,Residential Burglary,14
1996,46,Robbery,2
1996,46,Theft,216
1996,46,Vehicle Theft,28
1996,46,Violent Crimes Total,12
1996,47,Aggravated Assault,31
1996,47,Homicide,0
1996,47,NonResidential Burglary,60
1996,47,Property Crimes Total,673
1996,47,Rape,4
1996,47,Residential Burglary,35
1996,47,Robbery,18
1996,47,Theft,513
1996,47,Vehicle Theft,60
1996,47,Violent Crimes Total,53
1996,48,Aggravated Assault,5
1996,48,Homicide,0
1996,48,NonResidential Burglary,16
1996,48,Property Crimes Total,225
1996,48,Rape,3
1996,48,Residential Burglary,37
1996,48,Robbery,3
1996,48,Theft,139
1996,48,Vehicle Theft,33
1996,48,Violent Crimes Total,11
1996,49,Aggravated Assault,12
1996,49,Homicide,0
1996,49,NonResidential Burglary,24
1996,49,Property Crimes Total,420
1996,49,Rape,2
1996,49,Residential Burglary,53
1996,49,Robbery,4
1996,49,Theft,284
1996,49,Vehicle Theft,59
1996,49,Violent Crimes Total,18
1996,5,Aggravated Assault,2
1996,5,Homicide,0
1996,5,NonResidential Burglary,0
1996,5,Property Crimes Total,71
1996,5,Rape,2
1996,5,Residential Burglary,12
1996,5,Robbery,0
1996,5,Theft,51
1996,5,Vehicle Theft,6
1996,5,Violent Crimes Total,4
1996,50,Aggravated Assault,19
1996,50,Homicide,0
1996,50,NonResidential Burglary,26
1996,50,Property Crimes Total,256
1996,50,Rape,3
1996,50,Residential Burglary,33
1996,50,Robbery,6
1996,50,Theft,165
1996,50,Vehicle Theft,31
1996,50,Violent Crimes Total,28
1996,51,Aggravated Assault,6
1996,51,Homicide,0
1996,51,NonResidential Burglary,16
1996,51,Property Crimes Total,312
1996,51,Rape,1
1996,51,Residential Burglary,32
1996,51,Robbery,4
1996,51,Theft,225
1996,51,Vehicle Theft,39
1996,51,Violent Crimes Total,11
1996,52,Aggravated Assault,4
1996,52,Homicide,0
1996,52,NonResidential Burglary,18
1996,52,Property Crimes Total,506
1996,52,Rape,1
1996,52,Residential Burglary,65
1996,52,Robbery,12
1996,52,Theft,340
1996,52,Vehicle Theft,80
1996,52,Violent Crimes Total,17
1996,53.01,Aggravated Assault,36
1996,53.01,Homicide,0
1996,53.01,NonResidential Burglary,47
1996,53.01,Property Crimes Total,955
1996,53.01,Rape,2
1996,53.01,Residential Burglary,90
1996,53.01,Robbery,51
1996,53.01,Theft,728
1996,53.01,Vehicle Theft,84
1996,53.01,Violent Crimes Total,89
1996,53.02,Aggravated Assault,2
1996,53.02,Homicide,0
1996,53.02,NonResidential Burglary,2
1996,53.02,Property Crimes Total,40
1996,53.02,Rape,0
1996,53.02,Residential Burglary,0
1996,53.02,Robbery,0
1996,53.02,Theft,30
1996,53.02,Vehicle Theft,7
1996,53.02,Violent Crimes Total,2
1996,54,Aggravated Assault,10
1996,54,Homicide,0
1996,54,NonResidential Burglary,25
1996,54,Property Crimes Total,510
1996,54,Rape,1
1996,54,Residential Burglary,41
1996,54,Robbery,8
1996,54,Theft,362
1996,54,Vehicle Theft,80
1996,54,Violent Crimes Total,19
1996,55,Aggravated Assault,0
1996,55,Homicide,0
1996,55,NonResidential Burglary,5
1996,55,Property Crimes Total,89
1996,55,Rape,1
1996,55,Residential Burglary,0
1996,55,Robbery,0
1996,55,Theft,82
1996,55,Vehicle Theft,1
1996,55,Violent Crimes Total,1
1996,56,Aggravated Assault,5
1996,56,Homicide,0
1996,56,NonResidential Burglary,3
1996,56,Property Crimes Total,185
1996,56,Rape,0
1996,56,Residential Burglary,17
1996,56,Robbery,0
1996,56,Theft,154
1996,56,Vehicle Theft,10
1996,56,Violent Crimes Total,5
1996,57,Aggravated Assault,6
1996,57,Homicide,0
1996,57,NonResidential Burglary,20
1996,57,Property Crimes Total,270
1996,57,Rape,-1
1996,57,Residential Burglary,35
1996,57,Robbery,2
1996,57,Theft,183
1996,57,Vehicle Theft,23
1996,57,Violent Crimes Total,7
1996,58.01,Aggravated Assault,6
1996,58.01,Homicide,0
1996,58.01,NonResidential Burglary,27
1996,58.01,Property Crimes Total,316
1996,58.01,Rape,1
1996,58.01,Residential Burglary,34
1996,58.01,Robbery,4
1996,58.01,Theft,216
1996,58.01,Vehicle Theft,38
1996,58.01,Violent Crimes Total,11
1996,58.02,Aggravated Assault,7
1996,58.02,Homicide,1
1996,58.02,NonResidential Burglary,25
1996,58.02,Property Crimes Total,322
1996,58.02,Rape,0
1996,58.02,Residential Burglary,33
1996,58.02,Robbery,7
1996,58.02,Theft,221
1996,58.02,Vehicle Theft,43
1996,58.02,Violent Crimes Total,15
1996,59,Aggravated Assault,2
1996,59,Homicide,0
1996,59,NonResidential Burglary,6
1996,59,Property Crimes Total,247
1996,59,Rape,2
1996,59,Residential Burglary,31
1996,59,Robbery,0
1996,59,Theft,169
1996,59,Vehicle Theft,40
1996,59,Violent Crimes Total,4
1996,6,Aggravated Assault,22
1996,6,Homicide,2
1996,6,NonResidential Burglary,24
1996,6,Property Crimes Total,500
1996,6,Rape,4
1996,6,Residential Burglary,28
1996,6,Robbery,12
1996,6,Theft,367
1996,6,Vehicle Theft,73
1996,6,Violent Crimes Total,40
1996,60,Aggravated Assault,4
1996,60,Homicide,0
1996,60,NonResidential Burglary,9
1996,60,Property Crimes Total,279
1996,60,Rape,0
1996,60,Residential Burglary,47
1996,60,Robbery,4
1996,60,Theft,192
1996,60,Vehicle Theft,31
1996,60,Violent Crimes Total,8
1996,61,Aggravated Assault,3
1996,61,Homicide,0
1996,61,NonResidential Burglary,25
1996,61,Property Crimes Total,318
1996,61,Rape,2
1996,61,Residential Burglary,55
1996,61,Robbery,5
1996,61,Theft,189
1996,61,Vehicle Theft,47
1996,61,Violent Crimes Total,10
1996,62,Aggravated Assault,4
1996,62,Homicide,0
1996,62,NonResidential Burglary,7
1996,62,Property Crimes Total,281
1996,62,Rape,0
1996,62,Residential Burglary,38
1996,62,Robbery,3
1996,62,Theft,209
1996,62,Vehicle Theft,26
1996,62,Violent Crimes Total,7
1996,63,Aggravated Assault,9
1996,63,Homicide,0
1996,63,NonResidential Burglary,9
1996,63,Property Crimes Total,295
1996,63,Rape,1
1996,63,Residential Burglary,32
1996,63,Robbery,5
1996,63,Theft,215
1996,63,Vehicle Theft,38
1996,63,Violent Crimes Total,15
1996,64,Aggravated Assault,7
1996,64,Homicide,0
1996,64,NonResidential Burglary,4
1996,64,Property Crimes Total,159
1996,64,Rape,0
1996,64,Residential Burglary,38
1996,64,Robbery,1
1996,64,Theft,101
1996,64,Vehicle Theft,15
1996,64,Violent Crimes Total,8
1996,65,Aggravated Assault,2
1996,65,Homicide,0
1996,65,NonResidential Burglary,9
1996,65,Property Crimes Total,259
1996,65,Rape,3
1996,65,Residential Burglary,32
1996,65,Robbery,11
1996,65,Theft,181
1996,65,Vehicle Theft,36
1996,65,Violent Crimes Total,16
1996,66,Aggravated Assault,6
1996,66,Homicide,0
1996,66,NonResidential Burglary,41
1996,66,Property Crimes Total,418
1996,66,Rape,1
1996,66,Residential Burglary,41
1996,66,Robbery,6
1996,66,Theft,268
1996,66,Vehicle Theft,67
1996,66,Violent Crimes Total,13
1996,67.98,Aggravated Assault,3
1996,67.98,Homicide,0
1996,67.98,NonResidential Burglary,81
1996,67.98,Property Crimes Total,579
1996,67.98,Rape,2
1996,67.98,Residential Burglary,61
1996,67.98,Robbery,8
1996,67.98,Theft,351
1996,67.98,Vehicle Theft,84
1996,67.98,Violent Crimes Total,13
1996,68.98,Aggravated Assault,5
1996,68.98,Homicide,0
1996,68.98,NonResidential Burglary,15
1996,68.98,Property Crimes Total,166
1996,68.98,Rape,0
1996,68.98,Residential Burglary,13
1996,68.98,Robbery,6
1996,68.98,Theft,117
1996,68.98,Vehicle Theft,20
1996,68.98,Violent Crimes Total,11
1996,69,Aggravated Assault,7
1996,69,Homicide,0
1996,69,NonResidential Burglary,8
1996,69,Property Crimes Total,171
1996,69,Rape,0
1996,69,Residential Burglary,21
1996,69,Robbery,0
1996,69,Theft,119
1996,69,Vehicle Theft,19
1996,69,Violent Crimes Total,7
1996,7,Aggravated Assault,6
1996,7,Homicide,0
1996,7,NonResidential Burglary,19
1996,7,Property Crimes Total,340
1996,7,Rape,2
1996,7,Residential Burglary,35
1996,7,Robbery,5
1996,7,Theft,232
1996,7,Vehicle Theft,51
1996,7,Violent Crimes Total,13
1996,70,Aggravated Assault,12
1996,70,Homicide,0
1996,70,NonResidential Burglary,34
1996,70,Property Crimes Total,548
1996,70,Rape,1
1996,70,Residential Burglary,46
1996,70,Robbery,6
1996,70,Theft,420
1996,70,Vehicle Theft,49
1996,70,Violent Crimes Total,19
1996,71,Aggravated Assault,17
1996,71,Homicide,0
1996,71,NonResidential Burglary,110
1996,71,Property Crimes Total,981
1996,71,Rape,2
1996,71,Residential Burglary,39
1996,71,Robbery,23
1996,71,Theft,765
1996,71,Vehicle Theft,63
1996,71,Violent Crimes Total,42
1996,72,Aggravated Assault,46
1996,72,Homicide,0
1996,72,NonResidential Burglary,139
1996,72,Property Crimes Total,1363
1996,72,Rape,9
1996,72,Residential Burglary,27
1996,72,Robbery,75
1996,72,Theft,1073
1996,72,Vehicle Theft,120
1996,72,Violent Crimes Total,130
1996,73,Aggravated Assault,20
1996,73,Homicide,0
1996,73,NonResidential Burglary,89
1996,73,Property Crimes Total,729
1996,73,Rape,1
1996,73,Residential Burglary,28
1996,73,Robbery,43
1996,73,Theft,487
1996,73,Vehicle Theft,124
1996,73,Violent Crimes Total,64
1996,74,Aggravated Assault,28
1996,74,Homicide,0
1996,74,NonResidential Burglary,29
1996,74,Property Crimes Total,903
1996,74,Rape,5
1996,74,Residential Burglary,125
1996,74,Robbery,36
1996,74,Theft,644
1996,74,Vehicle Theft,99
1996,74,Violent Crimes Total,69
1996,75,Aggravated Assault,23
1996,75,Homicide,2
